client_name,client_state,client_city,display_date,last_order_date,total_orders,days_since_display,refill_status,nose_display,earring_display,anklet_display,bracelet_display,necklace_display,display_value,last_visit_date,last_visit_notes,no_purchase_reason,notes
"Kay beauty supply (MI7746)",MI,Dearborn,2025-10-14,2025-10-14,1,171.0,OVERDUE,715.0,0.0,0.0,573.0,0.0,1288.0,"","","",""
"High Klass Beauty Supply",OH,Cleveland,2025-10-17,2025-10-17,1,168.0,OVERDUE,0.0,0.0,0.0,0.0,816.0,816.0,"","","",""
"Model Beauty Supply",OH,"Cleveland Heights",2025-10-17,2025-10-17,1,168.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"Danny’s Hair & Beauty",OH,Cleveland,2025-10-19,2025-10-19,1,166.0,OVERDUE,644.4,0.0,0.0,518.4,302.4,1465.2,"","","",""
"Danny’s Hair & Beauty Supply Lakeshore",OH,Euclid,2025-10-19,2025-10-19,1,166.0,OVERDUE,0.0,0.0,777.6,1209.6,734.4,2721.6,"","","",""
"A & A Beauty Supply Akron",OH,Akron,2025-10-20,2025-12-13,2,165.0,REFILLING,608.6,646.51,0.0,0.0,302.4,1557.51,"","","",""
"Unique Beauty Supply Gypsy Ln",OH,Youngstown,2025-10-20,2025-10-20,1,165.0,OVERDUE,0.0,0.0,0.0,768.0,336.0,1104.0,"","","",""
"Infinity 99 Center Store",OH,Columbus,2025-10-22,2026-02-02,4,163.0,REFILLING,1712.5,1002.25,0.0,0.0,544.8,3259.55,"","","",""
"BEAUTY TRENDZ",KENTUCKY,LOUISVILLE,2025-10-23,2025-10-23,1,162.0,OVERDUE,0.0,0.0,0.0,576.0,336.0,912.0,"","","",""
"BUNDLES N WIGS",KENTUCKY,LEXINGTON,2025-10-23,2026-02-09,2,162.0,REFILLING,1725.65,0.0,775.41,0.0,2044.02,4545.08,"","","",""
"FAMOUS HAIR BEAUTY SUPPLY",KENTUCKY,LOUISVILLE,2025-10-23,2025-10-23,1,162.0,OVERDUE,716.0,0.0,0.0,691.2,0.0,1407.2,"","","",""
"Julia Wireless & Beauty Supplies",OH,Cincinnati,2025-10-24,2025-10-24,1,161.0,OVERDUE,0.0,0.0,0.0,0.0,384.0,384.0,"","","",""
"The Hair Palace",OH,"North College Hill",2025-10-24,2026-02-08,2,161.0,REFILLING,912.19,0.0,0.0,1043.04,2577.77,4533.0,"","","",""
"Diva Beauty Supply IN",IN,"Fort Wayne",2025-10-30,2026-01-29,2,155.0,REFILLING,1094.4,0.0,0.0,576.0,432.0,2102.4,"","","",""
"Hair and Beauty Depot - Fort Wayne",IN,"Fort Wayne",2025-10-30,2025-10-30,1,155.0,OVERDUE,716.0,0.0,0.0,768.0,672.0,2156.0,"","","",""
"Hunt's Beauty Supply",IN,Mishawaka,2025-10-30,2025-10-30,1,155.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"Hair world",OH,Lima,2025-11-04,2025-11-04,1,150.0,OVERDUE,716.0,0.0,0.0,576.0,0.0,1292.0,"","","",""
"Supreme Hair Depot",IN,Indianapolis,2025-11-04,2026-02-11,2,150.0,REFILLING,1125.0,436.5,0.0,691.2,676.8,2929.5,"","","",""
"The Hair Expo",IN,Indianapolis,2025-11-04,2025-11-04,1,150.0,OVERDUE,0.0,0.0,0.0,576.0,864.0,1440.0,"","","",""
"Zuri Beauty Supply",IN,Indianapolis,2025-11-04,2025-11-04,1,150.0,OVERDUE,184.5,436.5,0.0,0.0,0.0,621.0,"","","",""
"A & A BEAUTY SUPPLY St Louis",MISSOURI,"SAINT LOUIS",2025-11-05,2025-11-05,1,149.0,OVERDUE,716.0,0.0,0.0,518.4,336.0,1570.4,"","","",""
"HOLLYWOOD BEAUTY SUPPLY 3",IL,CAHOKIA,2025-11-05,2025-11-05,1,149.0,OVERDUE,716.0,0.0,0.0,0.0,112.0,828.0,"","","",""
"Velora beauty (IL5541)",IL,"Belleville ",2025-11-05,2025-11-05,1,149.0,OVERDUE,0.0,0.0,0.0,576.0,324.0,900.0,"","","",""
"Hollywood beauty supply","Missouri ","University city ",2025-11-06,2025-11-06,1,148.0,OVERDUE,644.4,0.0,0.0,0.0,388.8,1033.2,"","","",""
"ROYAL BEAUTY",MISSOURI,"SAINT LOUIS",2025-11-06,2025-11-06,1,148.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"Hair galleria (MO10940)",MO,"Saint Louis ",2025-11-07,2025-11-07,1,147.0,OVERDUE,0.0,0.0,0.0,0.0,336.0,336.0,"","","",""
"PARADISE BEAUTY 4",MISSOURI,"SAINT LOUIS",2025-11-07,2025-11-07,1,147.0,OVERDUE,0.0,363.75,0.0,0.0,0.0,363.75,"","","",""
"BEAUTY TRENDZ WEST MEMPHIS- BEAUTY SUPPLY",AR,"WEST MEMPHIS",2025-11-08,2025-11-08,1,146.0,OVERDUE,0.0,0.0,0.0,576.0,720.0,1296.0,"","","",""
"99 CENTS PLUS",AR,"LITTLE ROCK",2025-11-09,2025-11-09,1,145.0,OVERDUE,193.0,0.0,0.0,0.0,0.0,193.0,"","","",""
"Beauty & beyond (AR7509) ",AR,"Little Rock ",2025-11-09,2025-11-09,1,145.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"FIVE STAR BEAUTY & GALLERY",LOUISIANA,MONROE,2025-11-10,2025-11-10,1,144.0,OVERDUE,0.0,0.0,0.0,0.0,336.0,336.0,"","","",""
"HAIR GALLERIA",LOUISIANA,MONROE,2025-11-10,2025-11-10,1,144.0,OVERDUE,716.0,0.0,0.0,0.0,582.0,1298.0,"","","",""
"Buy And save hair & beauty supply (AR926)",AR,"Texerkana ",2025-11-11,2025-11-11,1,143.0,OVERDUE,0.0,0.0,0.0,0.0,672.0,672.0,"","","",""
"Save more beauty supply (TX2107) ",TX,"Tyler ",2025-11-12,2025-11-12,1,142.0,OVERDUE,644.4,0.0,777.6,0.0,0.0,1422.0,"","","",""
"Save more hair & beauty (TX1702)",TX,Tyler,2025-11-12,2025-11-12,1,142.0,OVERDUE,0.0,0.0,0.0,768.0,0.0,768.0,"","","",""
"BEAUTY & BEYOND BEAUTY SUPPLY",TEXAS,DALLAS,2025-11-13,2025-11-13,1,141.0,OVERDUE,450.0,250.0,0.0,300.0,500.0,1500.0,"","","",""
"IBERIA HAIR AND BEAUTY SUPPLY",LOUISIANA,"NEW IBERIA & MORGAN",2025-11-16,2025-11-16,1,138.0,OVERDUE,716.0,0.0,0.0,0.0,672.0,1388.0,"","","",""
"INFINITE BEAUTY",LOUISIANA,"NEW IBERIA & MORGAN",2025-11-16,2025-11-16,1,138.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"DIAMOND BEAUTY SUPPLY #3",LOUISIANA,ALEXANDRIA,2025-11-17,2025-11-17,1,137.0,OVERDUE,1288.8,600.0,1555.2,0.0,1296.0,4740.0,"","","",""
"Hair Land&fashion",PA,Pittsburgh,2025-11-25,2025-11-25,1,129.0,OVERDUE,0.0,400.0,0.0,0.0,1056.0,1456.0,"","","",""
"The hair palace south side (VA443)",VA,"Richmond ",2025-11-26,2025-11-26,1,128.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"BEAUTY MASTER",VA,PORTSMOUTH,2025-11-27,2025-11-27,1,127.0,OVERDUE,0.0,0.0,0.0,576.0,384.0,960.0,"","","",""
"LUX BEAUTY",VA,"VIRGINIA BEACH",2025-11-27,2025-11-27,1,127.0,OVERDUE,716.0,388.0,0.0,0.0,0.0,1104.0,"","","",""
"QUEENS BEAUTY SUPPLY","N. CAROLINA",WILSON,2025-11-27,2025-11-27,1,127.0,OVERDUE,1564.85,0.0,0.0,0.0,367.2,1932.05,"","","",""
"A BEAUTY SUPPLY","N. CAROLINA","ROCKY MOUNT",2025-11-28,2025-11-28,1,126.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"BEAUTY LAND",NC,DURHAM,2025-11-28,2025-11-28,1,126.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"Hair city beauty supply (NC2605)",NC,"Goldsboro ",2025-11-28,2025-11-28,1,126.0,OVERDUE,608.6,0.0,0.0,0.0,652.8,1261.4,"","","",""
"Lena’s beauty supply (NC1030)",NC,"Raleigh ",2025-11-28,2025-11-28,1,126.0,OVERDUE,608.6,0.0,734.4,0.0,652.8,1995.8,"","","",""
"NEW BEAUTY",NC,WILSON,2025-11-28,2025-11-28,1,126.0,OVERDUE,0.0,0.0,0.0,0.0,1050.0,1050.0,"","","",""
"FABULOUS BEAUTY SUPPLY 2",VA,DANVILLE,2025-11-29,2025-11-29,1,125.0,OVERDUE,680.2,0.0,820.8,729.6,775.2,3005.8,"","","",""
"QUEENS BEAUTY SUPPLY",NC,"ROCKY MOUNT",2025-11-29,2025-11-29,1,125.0,OVERDUE,0.0,0.0,0.0,0.0,897.6,897.6,"","","",""
"BEAUTY GIANT","N. CAROLINA","HIGH POINT",2025-12-01,2025-12-19,3,123.0,REFILLING,1835.0,0.0,0.0,0.0,594.0,2429.0,"","","",""
"BEAUTY LAND","N. CAROLINA",GREENSBORO,2025-12-01,2025-12-01,1,123.0,OVERDUE,700.0,300.0,0.0,0.0,384.0,1384.0,"","","",""
"TWINS BEAUTY SUPPLY","N. CAROLINA",GREENSBORO,2025-12-01,2025-12-01,1,123.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"UNIQUE HAIR & BEAUTY SUPPLY",NC,GREENSBORO,2025-12-01,2025-12-01,1,123.0,OVERDUE,0.0,0.0,0.0,576.0,384.0,960.0,"","","",""
"Baly beauty supply (NC1033)",NC,"Thomasville ",2025-12-02,2025-12-02,1,122.0,OVERDUE,0.0,0.0,0.0,768.0,336.0,1104.0,"","","",""
"EGO BEAUTY SUPPLY","N. CAROLINA",WINSTON-SALEM,2025-12-02,2025-12-02,1,122.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"Blush beauty supply (SC2716)",SC,Greenville,2025-12-03,2025-12-03,1,121.0,OVERDUE,716.0,300.0,864.0,0.0,664.0,2544.0,"","","",""
"GATE 2 BEAUTY SUPPLY",GEORGIA,GROVETOWN,2025-12-03,2025-12-03,1,121.0,OVERDUE,716.0,0.0,0.0,0.0,336.0,1052.0,"","","",""
"Hair depot (SC1346)",SC,Greenwood,2025-12-03,2025-12-03,1,121.0,OVERDUE,0.0,0.0,864.0,576.0,384.0,1824.0,"","","",""
"IT'S AMAZING BEAUTY SUPPLY",GEORGIA,AUGUSTA,2025-12-03,2025-12-03,1,121.0,OVERDUE,668.0,0.0,0.0,0.0,0.0,668.0,"","","",""
"BEAUTY & BEYOND",GEORGIA,SAVANNAH,2025-12-04,2025-12-05,3,120.0,REFILLING,0.0,0.0,0.0,0.0,2100.0,2100.0,"","","",""
"BEAUTY GIANT",GEORGIA,SAVANNAH,2025-12-04,2025-12-04,1,120.0,OVERDUE,0.0,0.0,0.0,0.0,280.0,280.0,"","","",""
"NYC BEAUTY",CAROLINA,WALTERBORO,2025-12-04,2025-12-04,1,120.0,OVERDUE,716.0,0.0,0.0,0.0,0.0,716.0,"","","",""
"BEAUTY WORLD BEAUTY SUPPLY",GEORGIA,VALDOSTA,2025-12-05,2025-12-05,1,119.0,OVERDUE,716.0,0.0,0.0,0.0,432.0,1148.0,"","","",""
"PARADISE BEAUTY",GEORGIA,HINESVILLE,2025-12-05,2025-12-05,1,119.0,OVERDUE,716.0,0.0,0.0,768.0,432.0,1916.0,"","","",""
"BEAUTY QUEEN 98C STORE",GEORGIA,MILLEDGEVILLE,2025-12-06,2025-12-21,2,118.0,REFILLING,2040.7,0.0,0.0,0.0,0.0,2040.7,"","","",""
"Danny's Hair & Beauty Supply",OH,Cleveland,2025-12-13,2025-12-13,1,111.0,OVERDUE,1012.5,0.0,0.0,0.0,0.0,1012.5,"","","",""
"SEREEN BEAUTY SUPPLY","N. CAROLINA",GREENSVILLE,2025-12-18,2025-12-18,1,106.0,OVERDUE,2025.0,0.0,0.0,0.0,777.6,2802.6,"","","",""
"HAIRCASA BEAUTY SUPPLY","N. CAROLINA",GOLDSBORO,2025-12-19,2025-12-19,1,105.0,OVERDUE,0.0,0.0,0.0,0.0,384.0,384.0,"","","",""
"HAIR ZONE",CAROLINA,BARNWELL,2025-12-20,2025-12-20,1,104.0,OVERDUE,1125.0,0.0,864.0,0.0,432.0,2421.0,"","","",""
"ZAINA BEAUTY SUPPLY","N. CAROLINA",GASTONIA,2025-12-20,2025-12-20,1,104.0,OVERDUE,1125.0,312.5,0.0,0.0,294.0,1731.5,"","","",""
"HAIR ZONE BEAUTY SUPPLY",GEORGIA,MACON,2025-12-21,2025-12-21,1,103.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"VIP beauty supply (GA265)",GA,Macon,2025-12-21,2025-12-21,1,103.0,OVERDUE,0.0,0.0,0.0,0.0,1014.0,1014.0,"","","",""
"BEAUTY QUEEN BEAUTY SUPPLY",GEORGIA,"WARNER ROBINS",2025-12-22,2025-12-22,1,102.0,OVERDUE,360.0,0.0,0.0,0.0,336.0,696.0,"","","",""
"Queen beauty supply (GA204)",GA,Americus,2025-12-22,2025-12-22,1,102.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"BEAUTY QUEEN",GEORGIA,COLUMBUS,2025-12-23,2025-12-23,1,101.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"Beauty & Beyond Beauty Supply (AL5411)",AL,Montgomery,2025-12-23,2025-12-23,1,101.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"Beauty & Beyond Beauty supply (AL2585)",AL,Montgomery,2025-12-23,2025-12-23,1,101.0,OVERDUE,0.0,312.5,864.0,0.0,0.0,1176.5,"","","",""
"Beauty & beyond beauty supply (AL719) ",AL,"Tuscaloosa ",2025-12-24,2025-12-24,1,100.0,OVERDUE,1120.64,0.0,0.0,0.0,382.51,1503.15,"","","",""
"Hanan beauty supply (AL3006)",AL,Montgomery,2025-12-25,2025-12-25,1,99.0,OVERDUE,0.0,100.0,0.0,0.0,0.0,100.0,"","","",""
"BEAUTY DIVA",ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,1,98.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"BEAUTY MANIA",ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,1,98.0,OVERDUE,0.0,0.0,0.0,576.0,0.0,576.0,"","","",""
"BEAUTY TRENDZ CRESTWOOD-BEAUTY SUPPLY",ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,1,98.0,OVERDUE,450.0,0.0,0.0,0.0,0.0,450.0,"","","",""
"Beauty secret beauty supply (AL3309)",AL,"Vestavia hills ",2025-12-26,2025-12-26,1,98.0,OVERDUE,1125.0,0.0,864.0,0.0,0.0,1989.0,"","","",""
"PLATINUM BEAUTY",ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,1,98.0,OVERDUE,1125.0,0.0,864.0,0.0,0.0,1989.0,"","","",""
"Beauty masters beauty supply (AL2504)",AL,"Birmingham ",2025-12-27,2025-12-27,1,97.0,OVERDUE,180.0,0.0,0.0,0.0,0.0,180.0,"","","",""
"Colosseum beauty supply (MI26439)","MI ","Warren ",2026-01-27,2026-01-27,1,66.0,OVERDUE,0.0,0.0,0.0,1176.0,1824.0,3000.0,"","","",""
"Hunts Beauty Supply Elkhart",IN,Elkhart,2026-01-28,2026-01-28,1,65.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"Unique fashion & beauty (MI744)",MI,Kalmazoo,2026-01-28,2026-01-28,1,65.0,OVERDUE,0.0,200.0,0.0,0.0,720.0,920.0,"","","",""
"M & A BEAUTY SUPPLY (MI3717)",MI,Flint,2026-01-29,2026-01-29,1,64.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"Hair world Akron",OH,Akron,2026-02-01,2026-02-01,1,61.0,OVERDUE,1125.0,0.0,0.0,0.0,0.0,1125.0,"","","",""
"Beauty connection (OH691)",OH,Columbus,2026-02-02,2026-02-02,1,60.0,OVERDUE,1125.0,0.0,0.0,384.0,720.0,2229.0,"","","",""
"Jennah beauty supply (OH8537)",OH,"Cincinnati ",2026-02-08,2026-02-08,1,54.0,OVERDUE,0.0,413.52,0.0,0.0,286.48,700.0,"","","",""
"Mila beauty supply (OH3441) ",OH,"Cincinnati ",2026-02-10,2026-02-10,1,52.0,OVERDUE,1125.0,436.5,0.0,0.0,302.4,1863.9,"","","",""
"NYC3 beauty supply (OH3212)",OH,"Middletown ",2026-02-10,2026-02-10,1,52.0,OVERDUE,1041.0,0.0,0.0,0.0,0.0,1041.0,"","","",""
"Princess Beauty & Hair Supply Dayton",OH,Dayton,2026-02-11,2026-02-11,1,51.0,OVERDUE,0.0,0.0,0.0,0.0,288.0,288.0,"","","",""
"PRINCE BEAUTY SUPPLY",MISSOURI,"SAINT LOUIS",2026-02-12,2026-02-12,1,50.0,OVERDUE,1125.0,0.0,0.0,0.0,288.0,1413.0,"","","",""
