invoice_no,client_id,client_name,client_state,client_city,date,due_date,payment_status,discount_amount,subtotal,tax_amount,total,paid_amount,balance_due,status
000334,778,NYC3 beauty supply (OH3212),OH,Middletown ,2026-02-10,2026-02-10,2,None,1338.0,None,1338.0,1338.0,0.0,None
000335,738,Danny’s Hair & Beauty,OH,Cleveland,2026-02-10,2026-02-10,0,None,792.0,None,792.0,0.0,792.0,None
000330,721,BUNDLES N WIGS,KENTUCKY,LEXINGTON,2026-02-09,2026-02-09,2,364.0,3550.0,None,3186.00001,3186.00001,0.0,None
000331,719,FAMOUS HAIR BEAUTY SUPPLY,KENTUCKY,LOUISVILLE,2026-02-09,2026-02-09,2,None,1056.0,None,1056.0,1056.0,0.0,None
000332,718,BEAUTY TRENDZ,KENTUCKY,LOUISVILLE,2026-02-09,2026-02-09,2,None,936.0,None,936.0,936.0,0.0,None
000327,45,The Hair Palace,OH,North College Hill,2026-02-08,2026-02-08,0,576.0,3045.0,None,2469.0,0.0,2469.0,None
000328,45,The Hair Palace,OH,North College Hill,2026-02-08,2026-02-08,0,None,1144.0,None,1144.0,0.0,1144.0,None
000329,776,Jennah beauty supply (OH8537),OH,Cincinnati ,2026-02-08,2026-02-08,0,121.0,821.0,None,700.0,0.0,700.0,None
000326,34,Impress Beauty Outlet,OH,Whitehall,2026-02-07,2026-02-07,0,None,585.0,None,585.0,0.0,585.0,None
000323,775,Beauty connection (OH691),OH,Columbus,2026-02-02,2026-02-02,0,None,2812.0,None,2812.0,0.0,2812.0,None
000324,34,Impress Beauty Outlet,OH,Whitehall,2026-02-02,2026-02-02,0,None,1362.0,None,1362.0,0.0,1362.0,None
000325,38,Infinity 99 Center Store,OH,Columbus,2026-02-02,2026-02-02,0,None,730.55,None,730.55,0.0,730.55,None
000318,23,A & A Beauty Supply Akron,OH,Akron,2026-02-01,2026-02-01,2,None,825.0,None,825.0,825.0,0.0,None
000319,24,A & A Beauty Supply,OH,Akron,2026-02-01,2026-02-01,0,None,792.0,None,792.0,0.0,792.0,None
000320,739,Hair world Akron,OH,Akron,2026-02-01,2026-02-01,0,None,2181.0,None,2181.0,0.0,2181.0,None
000321,23,A & A Beauty Supply Akron,OH,Akron,2026-02-01,2026-02-01,2,None,165.0,None,165.0,165.0,0.0,None
000322,12,George Hair & Beauty Supply,OH,Cleveland,2026-02-01,2026-02-01,2,None,686.8,None,686.8,686.8,0.0,None
000313,9,Magic Hair & Beauty,OH,Maple Heights,2026-01-31,2026-01-31,2,None,1056.0,None,1056.0,1056.0,0.0,None
000314,4,Remy Touch Hair & Beauty Supply,OH,Euclid,2026-01-31,2026-01-31,2,None,990.0,None,990.0,990.0,0.0,None
000315,681,Danny's Hair & Beauty Supply,OH,Cleveland,2026-01-31,2026-01-31,0,None,600.0,None,600.0,0.0,600.0,None
000316,14,Model Beauty Supply,OH,Cleveland Heights,2026-01-31,2026-01-31,2,None,275.0,None,275.0,275.0,0.0,None
000317,19,MAX BEAUTY SUPPLY,OH,Cleveland,2026-01-31,2026-01-31,2,90.0,990.0,None,900.0,900.0,0.0,None
000311,20,Hana's Beauty Supply,OH,Garfield Heights,2026-01-30,2026-01-30,2,None,627.0,None,627.0,627.0,0.0,None
000312,738,Danny’s Hair & Beauty,OH,Cleveland,2026-01-30,2026-01-30,0,149.0,880.0,None,731.0,0.0,731.0,None
000305,743,Hunt's Beauty Supply,IN,Mishawaka,2026-01-29,2026-01-29,2,None,429.0,None,429.0,429.0,0.0,None
000306,774,Unique beauty supply (IN2304),IN,South bend,2026-01-29,2026-01-29,2,None,837.0,None,837.0,837.0,0.0,None
000307,741,Diva Beauty Supply IN,IN,Fort Wayne,2026-01-29,2026-01-29,2,None,1517.0,None,1517.0,1517.0,0.0,None
000308,742,Hair and Beauty Depot - Fort Wayne,IN,Fort Wayne,2026-01-29,2026-01-29,2,None,1454.0,None,1454.0,1454.0,0.0,None
000309,59,Hair Oasis,OH,Toledo,2026-01-29,2026-01-29,2,None,2214.0,None,2214.0,2214.0,0.0,None
000310,60,M & A BEAUTY SUPPLY (MI3717),MI,Flint,2026-01-29,2026-01-29,0,None,2214.0,None,2214.0,0.0,2214.0,None
000303,773,Unique fashion & beauty (MI744),MI,Kalmazoo,2026-01-28,2026-01-28,0,None,1327.0,None,1327.0,0.0,1327.0,None
000304,761,Hunts Beauty Supply Elkhart,IN,Elkhart,2026-01-28,2026-01-28,2,None,1279.0,None,1279.0,1279.0,0.0,None
000300,58,Sapphire beauty supply (MI13939),MI,Detroit,2026-01-27,2026-01-27,0,None,4680.8,None,4680.8,0.0,4680.8,None
000301,735,Crown jewel beauty supply (MI27155),MI,Southfield ,2026-01-27,2026-01-27,0,None,3634.5,None,3634.5,0.0,3634.5,None
000302,736,Colosseum beauty supply (MI26439),MI ,Warren ,2026-01-27,2026-01-27,0,None,5564.0,None,5564.0,0.0,5564.0,None
000296,520,5 STAR BEAUTY,GEORGIA,MACON,2026-01-26,2026-01-26,0,None,990.0,None,990.0,0.0,990.0,None
000297,78,BEAUTY & BEYOND BEAUTY SUPPLY,TEXAS,DALLAS,2026-01-26,2026-01-26,2,15.0,715.0,None,700.0,700.0,0.0,None
000298,759,VIP beauty supply (GA265),GA,Macon,2026-01-26,2026-01-26,2,None,748.0,None,748.0,748.0,0.0,None
000299,373,IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,NEW IBERIA & MORGAN,2026-01-26,2026-01-26,2,None,564.0,None,564.0,564.0,0.0,None
000295,80,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2026-01-24,2026-01-24,2,None,792.0,None,792.0,792.0,0.0,None
000293,681,Danny's Hair & Beauty Supply,OH,Cleveland,2026-01-09,2026-01-09,2,None,210.0,None,210.0,210.0,0.0,None
000294,373,IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,NEW IBERIA & MORGAN,2026-01-09,2026-01-09,2,None,275.0,None,275.0,275.0,0.0,None
000291,53,Hollywood beauty supply 5,Missouri,Saint Louis ,2026-01-08,2026-01-08,2,None,561.0,None,561.0,561.0,0.0,None
000292,80,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2026-01-08,2026-01-08,2,None,341.0,None,341.0,341.0,0.0,None
000289,771,Beauty masters beauty supply (AL2504),AL,Birmingham ,2025-12-27,2025-12-27,2,None,180.0,None,180.0,180.0,0.0,None
000290,772,Queen hair beauty supply (AL1407),AL,Huntsville,2025-12-27,2025-12-27,2,None,102.0,None,102.0,102.0,0.0,None
000281,129,BEAUTY DIVA,ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,2,None,864.0,None,864.0,864.0,0.0,None
000282,111,BEAUTY TRENDZ CRESTWOOD-BEAUTY SUPPLY,ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,2,None,790.0,None,790.0,790.0,0.0,None
000283,112,BEAUTY TRENDZ TRUSSVILLE-BEAUTY SUPPLY,AL,BIRMIGHAM,2025-12-26,2025-12-26,2,None,634.0,None,634.0,634.0,0.0,None
000284,122,SUPER PLATINUM BEAUTY,ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,2,None,468.0,None,468.0,468.0,0.0,None
000285,121,PLATINUM BEAUTY,ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,2,None,2049.0,None,2049.0,2049.0,0.0,None
000286,120,PLATINUM BEAUTY,ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,2,None,180.0,None,180.0,180.0,0.0,None
000287,117,BEAUTY MANIA,ALABAMA,BIRMIGHAM,2025-12-26,2025-12-26,2,None,1824.0,None,1824.0,1824.0,0.0,None
000288,770,Beauty secret beauty supply (AL3309),AL,Vestavia hills ,2025-12-26,2025-12-26,2,None,1989.0,None,1989.0,1989.0,0.0,None
000280,767,Hanan beauty supply (AL3006),AL,Montgomery,2025-12-25,2025-12-25,2,None,271.0,None,271.0,271.0,0.0,None
000276,766,Beauty & beyond beauty supply (AL719) ,AL,Tuscaloosa ,2025-12-24,2025-12-24,2,7.0,1807.0,None,1799.99999,1799.99999,0.0,None
000277,133,DISCOUNT BEAUTY OUTLET 2,AL,TUSCALOOSA,2025-12-24,2025-12-24,2,None,300.0,None,300.0,300.0,0.0,None
000278,136,U SAVE BEAUTY OUTLET,AL,TUSCALOOSA,2025-12-24,2025-12-24,2,None,216.0,None,216.0,216.0,0.0,None
000279,132,DISCOUNT BEAUTY OUTLET,AL,TUSCALOOSA,2025-12-24,2025-12-24,2,None,216.0,None,216.0,216.0,0.0,None
000270,548,BEAUTY QUEEN,GEORGIA,COLUMBUS,2025-12-23,2025-12-23,2,None,1197.0,None,1197.0,1197.0,0.0,None
000271,550,BEAUTY QUEEN 98C STORE,GEORGIA,COLUMBUS,2025-12-23,2025-12-23,2,None,288.0,None,288.0,288.0,0.0,None
000272,763,Beauty & Beyond Beauty Supply (AL5411),AL,Montgomery,2025-12-23,2025-12-23,2,None,1597.0,None,1597.0,1597.0,0.0,None
000273,764,Beauty & Beyond Beauty supply (AL2585),AL,Montgomery,2025-12-23,2025-12-23,2,None,1392.5,None,1392.5,1392.5,0.0,None
000274,765,Beauty & beyond beauty supply (AL2762),AL,Montgomery,2025-12-23,2025-12-23,2,4.0,504.0,None,500.0,500.0,0.0,None
000275,102,BEAUTY & BEYOND BEAUTY SUPPLY,AL,MONTGOMERY,2025-12-23,2025-12-23,2,None,336.0,None,336.0,336.0,0.0,None
000265,539,BEAUTY QUEEN BEAUTY SUPPLY,GEORGIA,WARNER ROBINS,2025-12-22,2025-12-22,2,None,1331.0,None,1331.0,1331.0,0.0,None
000266,762,Queen beauty supply (GA204),GA,Americus,2025-12-22,2025-12-22,1,None,1125.0,None,1125.0,600.0,525.0,None
000267,549,BEAUTY QUEEN 98C STORE,GEORGIA,COLUMBUS,2025-12-22,2025-12-22,2,None,951.0,None,951.0,951.0,0.0,None
000268,537,5 STAR BEAUTY,GEORGIA,WARNER ROBINS,2025-12-22,2025-12-22,2,None,370.0,None,370.0,370.0,0.0,None
000269,540,BEAUTY QUEEN BEAUTY SUPPLY,GEORGIA,WARNER ROBINS,2025-12-22,2025-12-22,2,None,204.0,None,204.0,204.0,0.0,None
000260,759,VIP beauty supply (GA265),GA,Macon,2025-12-21,2025-12-21,2,None,1344.0,None,1344.0,1344.0,0.0,None
000261,521,5 STAR BEAUTY,GEORGIA,MACON,2025-12-21,2025-12-21,2,None,2213.6,None,2213.6,2213.6,0.0,None
000262,542,5 STAR BEAUTY,GEORGIA,MILLEDGEVILLE,2025-12-21,2025-12-21,2,777.0,962.4,None,185.4,185.4,0.0,None
000263,543,BEAUTY QUEEN 98C STORE,GEORGIA,MILLEDGEVILLE,2025-12-21,2025-12-21,2,None,251.5,None,251.5,251.5,0.0,None
000264,524,HAIR ZONE BEAUTY SUPPLY,GEORGIA,MACON,2025-12-21,2025-12-21,2,None,1197.0,None,1197.0,1197.0,0.0,None
000257,647,ZAINA BEAUTY SUPPLY,N. CAROLINA,GASTONIA,2025-12-20,2025-12-20,2,None,2421.5,None,2421.5,2421.5,0.0,None
000258,575,HAIR ZONE,CAROLINA,BARNWELL,2025-12-20,2025-12-20,0,None,2871.0,None,2871.0,0.0,2871.0,None
000259,520,5 STAR BEAUTY,GEORGIA,MACON,2025-12-20,2025-12-20,2,None,2497.5,None,2497.5,2497.5,0.0,None
000251,614,HAIRCASA BEAUTY SUPPLY,N. CAROLINA,GOLDSBORO,2025-12-19,2025-12-19,0,None,492.0,None,492.0,0.0,492.0,None
000252,651,NEW BEAUTY,NC,WILSON,2025-12-19,2025-12-19,2,8.0,108.0,None,100.0,100.0,0.0,None
000253,653,BEAUTY LAND,NC,DURHAM,2025-12-19,2025-12-19,2,0.0,144.0,None,144.0,144.0,0.0,None
000254,623,BEAUTY LAND,N. CAROLINA,GREENSBORO,2025-12-19,2025-12-19,2,None,711.0,None,711.0,711.0,0.0,None
000255,638,BLACK STAR BEAUTY SUPPLY,N. CAROLINA,HIGH POINT,2025-12-19,2025-12-19,2,None,724.0,None,724.0,724.0,0.0,None
000256,636,BEAUTY GIANT,N. CAROLINA,HIGH POINT,2025-12-19,2025-12-19,1,None,1709.0,None,1709.0,1700.0,9.0,None
000249,632,ADORIA BEAUTY CENTERS,N. CAROLINA,GREENSVILLE,2025-12-18,2025-12-18,2,None,654.0,None,654.0,654.0,0.0,None
000250,634,SEREEN BEAUTY SUPPLY,N. CAROLINA,GREENSVILLE,2025-12-18,2025-12-18,2,None,3132.6,None,3132.6,3132.6,0.0,None
000243,80,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2025-12-17,2025-12-17,2,None,528.0,None,528.0,528.0,0.0,None
000244,682,Danny’s Hair & Beauty Garfield,OH,Garfield Heights,2025-12-17,2025-12-17,2,None,660.0,None,660.0,660.0,0.0,None
000245,53,Hollywood beauty supply 5,Missouri,Saint Louis ,2025-12-17,2025-12-17,2,None,561.0,None,561.0,561.0,0.0,None
000246,373,IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,NEW IBERIA & MORGAN,2025-12-17,2025-12-17,2,None,594.0,None,594.0,594.0,0.0,None
000247,666,LUX BEAUTY,VA,VIRGINIA BEACH,2025-12-17,2025-12-17,2,None,748.0,None,748.0,748.0,0.0,None
000248,661,BEAUTY MASTER,VA,PORTSMOUTH,2025-12-17,2025-12-17,2,None,726.0,None,726.0,726.0,0.0,None
000241,38,Infinity 99 Center Store,OH,Columbus,2025-12-15,2025-12-15,2,None,1243.5,None,1243.5,1243.5,0.0,None
000242,34,Impress Beauty Outlet,OH,Whitehall,2025-12-15,2025-12-15,2,None,683.4,None,683.4,683.4,0.0,None
000235,23,A & A Beauty Supply Akron,OH,Akron,2025-12-13,2025-12-13,2,80.0,1392.0,None,1312.0,1312.0,0.0,None
000236,14,Model Beauty Supply,OH,Cleveland Heights,2025-12-13,2025-12-13,2,None,396.0,None,396.0,396.0,0.0,None
000237,681,Danny's Hair & Beauty Supply,OH,Cleveland,2025-12-13,2025-12-13,2,None,660.0,None,660.0,660.0,0.0,None
000238,681,Danny's Hair & Beauty Supply,OH,Cleveland,2025-12-13,2025-12-13,2,None,1743.0,None,1568.7,1568.7,0.0,None
000240,738,Danny’s Hair & Beauty,OH,Cleveland,2025-12-13,2025-12-13,2,None,605.0,None,605.0,605.0,0.0,None
000233,549,BEAUTY QUEEN 98C STORE,GEORGIA,COLUMBUS,2025-12-06,2025-12-06,2,None,1933.2,None,1933.2,1933.2,0.0,None
000234,520,5 STAR BEAUTY,GEORGIA,MACON,2025-12-06,2025-12-06,2,None,660.85,None,660.85,660.85,0.0,None
000229,528,BEAUTY & BEYOND,GEORGIA,SAVANNAH,2025-12-05,2025-12-05,2,20.0,720.0,None,700.0,700.0,0.0,None
000230,527,BEAUTY & BEYOND,GEORGIA,SAVANNAH,2025-12-05,2025-12-05,2,20.0,720.0,None,700.0,700.0,0.0,None
000231,546,PARADISE BEAUTY,GEORGIA,HINESVILLE,2025-12-05,2025-12-05,2,None,1916.0,None,1916.0,1916.0,0.0,None
000232,554,BEAUTY WORLD BEAUTY SUPPLY,GEORGIA,VALDOSTA,2025-12-05,2025-12-05,2,None,1148.0,None,1148.0,1148.0,0.0,None
000224,605,NYC BEAUTY,CAROLINA,WALTERBORO,2025-12-04,2025-12-04,2,None,716.0,None,716.0,716.0,0.0,None
000225,585,GLAMOUR BEAUTY SUPPLY,CAROLINA,BEAUFORT,2025-12-04,2025-12-04,2,None,720.0,None,720.0,720.0,0.0,None
000226,584,GLAMOUR BEAUTY SUPPLY,CAROLINA,BEAUFORT,2025-12-04,2025-12-04,2,None,1484.0,None,1484.0,1484.0,0.0,None
000227,530,BEAUTY GIANT,GEORGIA,SAVANNAH,2025-12-04,2025-12-04,2,None,280.0,None,280.0,280.0,0.0,None
000228,529,BEAUTY & BEYOND,GEORGIA,SAVANNAH,2025-12-04,2025-12-04,2,20.0,720.0,None,700.0,700.0,0.0,None
000220,757,Blush beauty supply (SC2716),SC,Greenville,2025-12-03,2025-12-03,2,None,2544.0,None,2544.0,2544.0,0.0,None
000221,758,Hair depot (SC1346),SC,Greenwood,2025-12-03,2025-12-03,2,None,1824.0,None,1824.0,1824.0,0.0,None
000222,560,IT'S AMAZING BEAUTY SUPPLY,GEORGIA,AUGUSTA,2025-12-03,2025-12-03,2,None,668.0,None,668.0,668.0,0.0,None
000223,561,GATE 2 BEAUTY SUPPLY,GEORGIA,GROVETOWN,2025-12-03,2025-12-03,2,None,1052.0,None,1052.0,1052.0,0.0,None
000218,756,Baly beauty supply (NC1033),NC,Thomasville ,2025-12-02,2025-12-02,2,None,1104.0,None,1104.0,1104.0,0.0,None
000219,617,EGO BEAUTY SUPPLY,N. CAROLINA,WINSTON-SALEM,2025-12-02,2025-12-02,2,None,716.0,None,716.0,716.0,0.0,None
000213,626,TWINS BEAUTY SUPPLY,N. CAROLINA,GREENSBORO,2025-12-01,2025-12-01,2,None,716.0,None,716.0,716.0,0.0,None
000214,620,UNIQUE HAIR & BEAUTY SUPPLY,NC,GREENSBORO,2025-12-01,2025-12-01,2,None,960.0,None,960.0,960.0,0.0,None
000215,623,BEAUTY LAND,N. CAROLINA,GREENSBORO,2025-12-01,2025-12-01,2,None,1384.0,None,1384.0,1384.0,0.0,None
000216,636,BEAUTY GIANT,N. CAROLINA,HIGH POINT,2025-12-01,2025-12-01,2,None,1004.0,None,1004.0,1004.0,0.0,None
000217,622,BEAUTY GIANT,N. CAROLINA,GREENSBORO,2025-12-01,2025-12-01,2,None,300.0,None,300.0,300.0,0.0,None
000211,631,QUEENS BEAUTY SUPPLY,NC,ROCKY MOUNT,2025-11-29,2025-11-29,2,None,1344.0,None,1142.4,1142.4,0.0,None
000212,660,FABULOUS BEAUTY SUPPLY 2,VA,DANVILLE,2025-11-29,2025-11-29,2,None,3164.0,None,3005.8,3005.8,0.0,None
000206,653,BEAUTY LAND,NC,DURHAM,2025-11-28,2025-11-28,2,None,716.0,None,716.0,716.0,0.0,None
000207,754,Lena’s beauty supply (NC1030),NC,Raleigh ,2025-11-28,2025-11-28,2,None,2348.0,None,1995.8,1995.8,0.0,None
000208,627,A BEAUTY SUPPLY,N. CAROLINA,ROCKY MOUNT,2025-11-28,2025-11-28,2,None,1747.0,None,1747.0,1747.0,0.0,None
000209,651,NEW BEAUTY,NC,WILSON,2025-11-28,2025-11-28,2,244.0,1294.0,None,1050.0,1050.0,0.0,None
000210,755,Hair city beauty supply (NC2605),NC,Goldsboro ,2025-11-28,2025-11-28,0,None,1592.0,None,1353.2,0.0,1353.2,None
000203,661,BEAUTY MASTER,VA,PORTSMOUTH,2025-11-27,2025-11-27,2,None,960.0,None,960.0,960.0,0.0,None
000204,666,LUX BEAUTY,VA,VIRGINIA BEACH,2025-11-27,2025-11-27,2,None,1104.0,None,1104.0,1104.0,0.0,None
000205,650,QUEENS BEAUTY SUPPLY,N. CAROLINA,WILSON,2025-11-27,2025-11-27,0,None,2262.05,None,2262.05,0.0,2262.05,None
000202,753,The hair palace south side (VA443),VA,Richmond ,2025-11-26,2025-11-26,2,None,864.0,None,864.0,864.0,0.0,None
000201,672,Hair Land&fashion,PA,Pittsburgh,2025-11-25,2025-11-25,2,None,1456.0,None,1456.0,1456.0,0.0,None
000200,359,DIAMOND BEAUTY SUPPLY #3,LOUISIANA,ALEXANDRIA,2025-11-17,2025-11-17,2,None,6346.0,None,6346.0,6346.0,0.0,None
000198,373,IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,NEW IBERIA & MORGAN,2025-11-16,2025-11-16,2,None,1944.0,None,1944.0,1944.0,0.0,None
000199,372,INFINITE BEAUTY,LOUISIANA,NEW IBERIA & MORGAN,2025-11-16,2025-11-16,2,None,864.0,None,864.0,864.0,0.0,None
000196,752,Infinite beauty (TX4715),TX,Houston ,2025-11-15,2025-11-15,2,None,286.0,None,286.0,286.0,0.0,None
000197,366,BUY & SAVE HAIR & BEAUTY SUPPLY,LOUISIANA,LAKE CHARLES,2025-11-15,2025-11-15,2,None,297.0,None,297.0,297.0,0.0,None
000191,6,Danny’s Hair & Beauty Supply Lakeshore,OH,Euclid,2025-11-13,2025-11-13,2,43.0,1078.0,None,1035.0,1035.0,0.0,None
000192,78,BEAUTY & BEYOND BEAUTY SUPPLY,TEXAS,DALLAS,2025-11-13,2025-11-13,1,None,1776.0,None,1776.0,776.0,1000.0,None
000193,79,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2025-11-13,2025-11-13,2,None,480.0,None,480.0,480.0,0.0,None
000194,80,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2025-11-13,2025-11-13,2,None,1671.5,None,1671.5,1671.5,0.0,None
000195,81,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2025-11-13,2025-11-13,2,None,644.4,None,644.4,644.4,0.0,None
000189,751,Save more hair & beauty (TX1702),TX,Tyler,2025-11-12,2025-11-12,2,None,944.0,None,944.0,944.0,0.0,None
000190,731,Save more beauty supply (TX2107) ,TX,Tyler ,2025-11-12,2025-11-12,2,None,1903.2,None,1903.2,1903.2,0.0,None
000187,750,Dollar mania (LA758),LA,Shreveport,2025-11-11,2025-11-11,2,None,360.0,None,360.0,360.0,0.0,None
000188,75,Buy And save hair & beauty supply (AR926),AR,Texerkana ,2025-11-11,2025-11-11,2,None,672.0,None,672.0,672.0,0.0,None
000183,264,FIVE STAR BEAUTY & GALLERY,LOUISIANA,MONROE,2025-11-10,2025-11-10,2,None,527.75,None,527.75,527.75,0.0,None
000184,265,HAIR GALLERIA,LOUISIANA,MONROE,2025-11-10,2025-11-10,2,None,1298.0,None,1298.0,1298.0,0.0,None
000185,266,FIVE STAR BEAUTY,LOUISIANA,MONROE,2025-11-10,2025-11-10,2,None,78.0,None,78.0,78.0,0.0,None
000186,250,DOLLAR MANIA,LOUISIANA,SHREVEPORT,2025-11-10,2025-11-10,2,None,1332.0,None,1332.0,1332.0,0.0,None
000179,73,Supreme hair & beauty (AR6420),AR,Little Rock ,2025-11-09,2025-11-09,2,None,1170.0,None,1170.0,1170.0,0.0,None
000180,156,99 CENTS PLUS,AR,LITTLE ROCK,2025-11-09,2025-11-09,2,None,193.0,None,193.0,193.0,0.0,None
000181,749,Supreme hair & beauty 3 (AR5917),AR,Little Rock ,2025-11-09,2025-11-09,2,None,390.0,None,390.0,390.0,0.0,None
000182,72,Beauty & beyond (AR7509) ,AR,Little Rock ,2025-11-09,2025-11-09,2,None,716.0,None,716.0,716.0,0.0,None
000177,748,Hair galleria (TN1070),TN,Memphis ,2025-11-08,2025-11-08,2,None,420.0,None,420.0,420.0,0.0,None
000178,158,BEAUTY TRENDZ WEST MEMPHIS- BEAUTY SUPPLY,AR,WEST MEMPHIS,2025-11-08,2025-11-08,2,None,1406.0,None,1406.0,1406.0,0.0,None
000175,170,PARADISE BEAUTY 4,MISSOURI,SAINT LOUIS,2025-11-07,2025-11-07,2,None,543.75,None,543.75,543.75,0.0,None
000176,69,Hair galleria (MO10940),MO,Saint Louis ,2025-11-07,2025-11-07,2,None,592.0,None,592.0,592.0,0.0,None
000172,70,Icon beauty 2 (MO7751),MO,Hazelwood ,2025-11-06,2025-11-06,0,None,637.0,None,637.0,0.0,637.0,None
000173,179,ROYAL BEAUTY,MISSOURI,SAINT LOUIS,2025-11-06,2025-11-06,2,None,716.0,None,716.0,716.0,0.0,None
000174,52,Hollywood beauty supply,Missouri ,University city ,2025-11-06,2025-11-06,2,None,1730.0,None,1557.0,1557.0,0.0,None
000167,50,Images beauty supply,IL,Fairview Heights,2025-11-05,2025-11-05,2,None,352.0,None,352.0,352.0,0.0,None
000168,187,HOLLYWOOD BEAUTY SUPPLY 3,IL,CAHOKIA,2025-11-05,2025-11-05,2,None,828.0,None,828.0,828.0,0.0,None
000169,53,Hollywood beauty supply 5,Missouri,Saint Louis ,2025-11-05,2025-11-05,2,None,1134.0,None,1134.0,1134.0,0.0,None
000170,181,A & A BEAUTY SUPPLY St Louis,MISSOURI,SAINT LOUIS,2025-11-05,2025-11-05,2,None,1780.4,None,1780.4,1780.4,0.0,None
000171,747,Velora beauty (IL5541),IL,Belleville ,2025-11-05,2025-11-05,2,None,1520.0,None,1520.0,1520.0,0.0,None
000163,745,Hair world,OH,Lima,2025-11-04,2025-11-04,2,None,1292.0,None,1292.0,1292.0,0.0,None
000164,717,Supreme Hair Depot,IN,Indianapolis,2025-11-04,2025-11-04,2,None,1768.5,None,1768.5,1768.5,0.0,None
000165,746,Zuri Beauty Supply,IN,Indianapolis,2025-11-04,2025-11-04,2,None,621.0,None,621.0,621.0,0.0,None
